id;tema;pergunta;alternativa_a;alternativa_b;alternativa_c;alternativa_d;resposta_correta;explicacao;dificuldade;fonte_pdf
Q001;Era dos Dados;O que caracteriza a chamada 'Era dos Dados'?;Um período em que apenas grandes empresas têm acesso a computadores;Um momento em que grandes volumes de dados são gerados por diversas fontes como redes sociais, GPS e streaming;Uma época em que os dados são usados exclusivamente por governos;O tempo em que os dados só existiam em formato físico como papéis e fichas;B;A Era dos Dados é marcada pela geração massiva de dados por fontes diversas como redes sociais, GPS, buscas online, compras e streaming.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q002;Era dos Dados;Segundo dados da IBM mencionados nos slides, qual percentual dos dados do mundo foi gerado nos últimos 4 anos?;50%;70%;90%;99%;C;90% dos dados existentes no mundo foram gerados nos últimos 4 anos, segundo a IBM.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q003;Big Data;O conceito de Big Data surgiu quando o analista Doug Laney começou a discutir a importância de coletar e armazenar dados. Em que época isso aconteceu?;Nos anos 1970;Nos anos 1990;No início do século XXI;Nos anos 2010;C;O conceito de Big Data surgiu no início do século XXI quando o analista Doug Laney passou a discutir a importância de coletar e armazenar dados para análises futuras.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q004;Big Data;Quais são os cinco 'V' do Big Data?;Volume, Variedade, Velocidade, Valor e Veracidade;Volume, Versão, Velocidade, Valor e Visualização;Volume, Variedade, Validação, Valor e Veracidade;Velocidade, Variedade, Verdade, Versão e Volume;A;Os 5 Vs do Big Data são: Volume, Variedade, Velocidade, Valor e Veracidade.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q005;Ciência de Dados;O que é Ciência de Dados?;Uma disciplina focada apenas em criar banco de dados relacionais;Uma área interdisciplinar voltada ao estudo e análise de dados para extração de conhecimento e apoio à tomada de decisão;Um ramo da matemática pura sem aplicação prática;Uma ferramenta exclusiva de empresas de tecnologia;B;Ciência de Dados é uma área interdisciplinar voltada para o estudo e análise de dados estruturados ou não visando a extração de conhecimento para tomada de decisão.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q006;DDDMC;O que significa a sigla DDDMC?;Data Driven Digital Management Culture;Data Driven Decision Making Culture;Database Driven Decision Making Cycle;Data Driven Development and Management Cycle;B;DDDMC significa Data Driven Decision Making Culture ou Cultura de Tomada de Decisão Orientada a Dados.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q007;DDDMC;Em uma empresa com cultura data-driven as decisões são baseadas principalmente em:;Intuição e experiência pessoal dos funcionários mais antigos;Dados e evidências ao invés de intuição ou experiência pessoal;Opiniões dos cargos mais altos da empresa;Tendências de mercado sem análise numérica;B;A cultura data-driven define que as decisões são motivadas por dados e não apenas por intuição ou experiência pessoal.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q008;DDDMC;Qual é o primeiro passo do processo cíclico da cultura data-driven descrito nos slides?;Análise de dados e geração de insights;Tomada de decisão imediata;Colocar o cliente no centro da estratégia da organização;Implantação de ferramentas de análise;C;O primeiro passo do ciclo DDDMC é colocar o cliente/consumidor no centro da estratégia da organização.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q009;Princípios DDDMC;Quais são os 6 passos das melhores práticas de uma cultura data-driven?;Coletar, Limpar, Analisar, Visualizar, Publicar e Arquivar;Definir objetivos, Identificar e coletar dados, Organizar e explorar, Analisar, Produzir conclusões e Implementar e avaliar;Pesquisar, Modelar, Treinar, Avaliar, Implantar e Monitorar;Planejar, Executar, Verificar, Agir, Melhorar e Encerrar;B;As 6 melhores práticas da cultura data-driven são: Definir objetivos, Identificar/coletar dados, Organizar e explorar, Analisar dados, Produzir conclusões e Implementar e avaliar.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q010;Engajamento Organizacional;Segundo a MIT Sloan o engajamento organizacional em dados ocorre em 3 níveis. Quais são eles?;Coleta, Análise e Visualização;Prontidão dos Dados, Prontidão Analítica e Prontidão da Infraestrutura;Planejamento, Execução e Monitoramento;Dados, Informação e Conhecimento;B;Os 3 níveis são: Prontidão dos Dados (dados de qualidade disponíveis), Prontidão Analítica (habilidade de usar dados) e Prontidão da Infraestrutura (hardware e software necessários).;Médio;Aula_01_-_AVD_pptx-1.pdf
Q011;Barreiras DDDMC;O que é o efeito 'HIPPO' no contexto das barreiras culturais à cultura data-driven?;Um animal que simboliza dados volumosos;A tendência de seguir a opinião da pessoa mais bem paga sem base em dados;Um algoritmo de compressão de dados;Uma metodologia ágil de análise;B;HIPPO significa Highest Paid Person's Opinion — a barreira cultural em que a opinião da pessoa mais bem paga prevalece sem base em dados ou evidências.;Médio;Aula_01_-_AVD_pptx-1.pdf
Q012;Barreiras DDDMC;Qual é a solução proposta nos slides para superar barreiras técnicas na implementação do DDDMC?;Contratar apenas especialistas externos;Distribuir conhecimento, realizar treinamentos e disponibilizar dados para todos;Restringir o acesso a dados apenas à equipe de TI;Substituir todos os funcionários por sistemas automatizados;B;A solução para barreiras técnicas é distribuir conhecimento, realizar treinamentos e disponibilizar os dados para todas as pessoas da empresa.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q013;Tipos de Análise;Qual tipo de análise de dados responde à pergunta 'O que aconteceu?';Análise Prescritiva;Análise Preditiva;Análise Descritiva e Exploratória;Análise Diagnóstica;C;A Análise Descritiva e Exploratória demonstra o que aconteceu no passado resumindo e visualizando os dados.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q014;Tipos de Análise;Qual tipo de análise de dados responde à pergunta 'Por que aconteceu?';Análise Descritiva;Análise Causal (ou Diagnóstica);Análise Preditiva;Análise Prescritiva;B;A Análise Causal ou Diagnóstica investiga relações entre variáveis para identificar potenciais causas por trás dos padrões observados.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q015;Tipos de Análise;Qual tipo de análise de dados responde à pergunta 'O que vai acontecer?';Análise Descritiva;Análise Diagnóstica;Análise Preditiva;Análise Prescritiva;C;A Análise Preditiva usa dados históricos e modelos para antecipar tendências, padrões e eventos futuros.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q016;Tipos de Análise;Qual tipo de análise de dados responde à pergunta 'O que deveria ser feito?';Análise Descritiva;Análise Diagnóstica;Análise Preditiva;Análise Prescritiva;D;A Análise Prescritiva vai além da previsão sugerindo o melhor curso de ação com base em dados e modelos de otimização.;Fácil;Aula_01_-_AVD_pptx-1.pdf
Q017;Pirâmide DIKW;A pirâmide DIKW representa a transformação dos dados em sabedoria. Qual é a ordem correta da base ao topo?;Sabedoria, Conhecimento, Informação, Dados;Dados, Informação, Conhecimento, Sabedoria;Informação, Dados, Sabedoria, Conhecimento;Dados, Conhecimento, Informação, Sabedoria;B;A pirâmide DIKW segue a sequência: Dados (Data), Informação (Information), Conhecimento (Knowledge) e Sabedoria (Wisdom).;Fácil;Aula_01_-_AVD_pptx-1.pdf
